Citation	wID	1830	1837	1840	1841	1879	1920
Moroni 1:4	14	supposed	supposed
Moroni 1:4	14.01	:	;
Moroni 1:4	14.02	⌴	⌴
Moroni 1:4	15	for	for
Moroni 1:4	15.01	⌴	⌴
Moroni 1:4	16	I	I
Moroni 1:4	16.01	⌴	⌴
Moroni 1:4	17	had	had
Moroni 1:4	17.01	⌴	⌴
Moroni 1:4	18	supposed	supposed
Moroni 1:4	18.01	⌴	⌴
Moroni 1:4	19	not	not
Moroni 1:4	19.01	⌴	⌴
Moroni 1:4	20	to	to
Moroni 1:4	20.01	⌴	⌴
Moroni 1:4	21	have	have
Moroni 1:4	21.01	⌴	⌴
Moroni 1:4	22	written	written
Moroni 1:4	22.01	⌴	⌴
Moroni 1:4	23	any	any
Moroni 1:4	23.01	⌴	⌴
Moroni 1:4	24	more	more
Moroni 1:4	24.01	;	;
Moroni 1:4	24.02	⌴	⌴
Moroni 1:4	25	but	but
Moroni 1:4	25.01	⌴	⌴
Moroni 1:4	26	I	I
Moroni 1:4	26.01	⌴	⌴
Moroni 1:4	27	write	write
Moroni 1:4	27.01	⌴	⌴
Moroni 1:4	28	a	a
Moroni 1:4	28.01	⌴	⌴
Moroni 1:4	29	few	few
Moroni 1:4	29.01	⌴	⌴
Moroni 1:4	30	more	more
Moroni 1:4	30.01	⌴	⌴
Moroni 1:4	31	things	things
Moroni 1:4	31.01	,	,
Moroni 1:4	31.02	⌴	⌴
Moroni 1:4	32	that	that
Moroni 1:4	32.01	⌴	⌴
Moroni 1:4	33	perhaps	perhaps
Moroni 1:4	33.01	⌴	⌴
Moroni 1:4	34	they	they
Moroni 1:4	34.01	⌴	⌴
Moroni 1:4	35	may	may
Moroni 1:4	35.01	⌴	⌴
Moroni 1:4	36	be	be
Moroni 1:4	36.01	⌴	⌴
Moroni 1:4	37	of	of
Moroni 1:4	37.01	⌴	⌴
Moroni 1:4	38	worth	worth
Moroni 1:4	38.01	⌴	⌴
Moroni 1:4	39	unto	unto
Moroni 1:4	39.01	⌴	⌴
Moroni 1:4	40	my	my
Moroni 1:4	40.01	⌴	⌴
Moroni 1:4	41	brethren	brethren
Moroni 1:4	41.01	,	,
Moroni 1:4	41.02	⌴	⌴
Moroni 1:4	42	the	the
Moroni 1:4	42.01	⌴	⌴
Moroni 1:4	43	Lamanites	Lamanites
Moroni 1:4	43.01	,	,
Moroni 1:4	43.02	⌴	⌴
Moroni 1:4	44	in	in
Moroni 1:4	44.01	⌴	⌴
Moroni 1:4	45	some	some
Moroni 1:4	45.01	⌴	⌴
Moroni 1:4	46	future	future
Moroni 1:4	46.01	⌴	⌴
Moroni 1:4	47	day	day
Moroni 1:4	47.01	,	,
Moroni 1:4	47.02	⌴	⌴
Moroni 1:4	48	according	according
Moroni 1:4	48.01	⌴	⌴
Moroni 1:4	49	to	to
Moroni 1:4	49.01	⌴	⌴
Moroni 1:4	50	the	the
Moroni 1:4	50.01	⌴	⌴
Moroni 1:4	51	will	will
Moroni 1:4	51.01	⌴	⌴
Moroni 1:4	52	of	of
Moroni 1:4	52.01	⌴	⌴
Moroni 1:4	53	the	the
Moroni 1:4	53.01	⌴	⌴
Moroni 1:4	54	Lord	Lord
Moroni 1:4	54.01	.	.
Moroni 2:1	1	The	The
Moroni 2:1	1.01	⌴	⌴
Moroni 2:1	2	words	words
Moroni 2:1	2.01	⌴	⌴
Moroni 2:1	3	of	of
Moroni 2:1	3.01	⌴	⌴
Moroni 2:1	4	Christ	Christ
Moroni 2:1	4.01	,	,
Moroni 2:1	4.02	⌴	⌴
Moroni 2:1	5	which	which
Moroni 2:1	5.01	⌴	⌴
Moroni 2:1	6	he	he
Moroni 2:1	6.01	⌴	⌴
Moroni 2:1	7	spake	spake
Moroni 2:1	7.01	⌴	⌴
Moroni 2:1	8	unto	unto
Moroni 2:1	8.01	⌴	⌴
Moroni 2:1	9	his	his
Moroni 2:1	9.01	⌴	⌴
Moroni 2:1	10	disciples	disciples
Moroni 2:1	10.01	,	,
Moroni 2:1	10.02	⌴	⌴
Moroni 2:1	11	the	the
Moroni 2:1	11.01	⌴	⌴
Moroni 2:1	12	twelve	twelve
Moroni 2:1	12.01	⌴	⌴
Moroni 2:1	13	whom	whom
Moroni 2:1	13.01	⌴	⌴
Moroni 2:1	14	he	he
Moroni 2:1	14.01	⌴	⌴
Moroni 2:1	15	had	had
Moroni 2:1	15.01	⌴	⌴
Moroni 2:1	16	chosen	chosen
Moroni 2:1	16.01	,	,
Moroni 2:1	16.02	⌴	⌴
Moroni 2:1	17	as	as
Moroni 2:1	17.01	⌴	⌴
Moroni 2:1	18	he	he
Moroni 2:1	18.01	⌴	⌴
Moroni 2:1	19	laid	laid
Moroni 2:1	19.01	⌴	⌴
Moroni 2:1	20	his	his
Moroni 2:1	20.01	⌴	⌴
Moroni 2:1	21	hands	hands
Moroni 2:1	21.01	⌴	⌴
Moroni 2:1	22	upon	upon
Moroni 2:1	22.01	⌴	⌴
Moroni 2:1	23	them	them
Moroni 2:1	23.01	.	.
Moroni 2:2	1	And	And
Moroni 2:2	1.01	⌴	⌴
Moroni 2:2	2	he	he
Moroni 2:2	2.01	⌴	⌴
Moroni 2:2	3	called	called
Moroni 2:2	3.01	⌴	⌴
Moroni 2:2	4	them	them
Moroni 2:2	4.01	⌴	⌴
Moroni 2:2	5	by	by
Moroni 2:2	5.01	⌴	⌴
Moroni 2:2	6	name	name
Moroni 2:2	6.01	,	,
Moroni 2:2	6.02	⌴	⌴
Moroni 2:2	7	saying	saying
Moroni 2:2	7.01	,	,
Moroni 2:2	7.02	⌴	⌴
Moroni 2:2	8	Ye	ye
Moroni 2:2	8.01	⌴	⌴
Moroni 2:2	9	shall	shall
Moroni 2:2	9.01	⌴	⌴
Moroni 2:2	10	call	call
Moroni 2:2	10.01	⌴	⌴
Moroni 2:2	11	on	on
Moroni 2:2	11.01	⌴	⌴
Moroni 2:2	12	the	the
Moroni 2:2	12.01	⌴	⌴
Moroni 2:2	13	Father	Father
Moroni 2:2	13.01	⌴	⌴
Moroni 2:2	14	in	in
Moroni 2:2	14.01	⌴	⌴
Moroni 2:2	15	my	my
Moroni 2:2	15.01	⌴	⌴
Moroni 2:2	16	name	name
Moroni 2:2	16.01	,	,
Moroni 2:2	16.02	⌴	⌴
Moroni 2:2	17	in	in
Moroni 2:2	17.01	⌴	⌴
Moroni 2:2	18	mighty	mighty
Moroni 2:2	18.01	⌴	⌴
Moroni 2:2	19	prayer	prayer
Moroni 2:2	19.01	;	;
Moroni 2:2	19.02	⌴	⌴
Moroni 2:2	20	and	and
Moroni 2:2	20.01	⌴	⌴
Moroni 2:2	21	after	after
Moroni 2:2	21.01	⌴	⌴
Moroni 2:2	22	that	∅
Moroni 2:2	22.01	⌴	∅
Moroni 2:2	23	ye	ye
Moroni 2:2	23.01	⌴	⌴
Moroni 2:2	24	have	have
Moroni 2:2	24.01	⌴	⌴
Moroni 2:2	25	done	done
Moroni 2:2	25.01	⌴	⌴
Moroni 2:2	26	this	this
Moroni 2:2	26.01	,	,
Moroni 2:2	26.02	⌴	⌴
Moroni 2:2	27	ye	ye
Moroni 2:2	27.01	⌴	⌴
Moroni 2:2	28	shall	shall
Moroni 2:2	28.01	⌴	⌴
Moroni 2:2	29	have	have
Moroni 2:2	29.01	⌴	⌴
Moroni 2:2	30	power	power
Moroni 2:2	30.01	⌴	⌴
Moroni 2:2	31	that	that
Moroni 2:2	31.01	⌴	⌴
Moroni 2:2	32	on	on
Moroni 2:2	32.01	⌴	⌴
Moroni 2:2	33	him	him
Moroni 2:2	33.01	⌴	⌴
Moroni 2:2	34	whom	whom
Moroni 2:2	34.01	⌴	⌴
Moroni 2:2	35	ye	ye
Moroni 2:2	35.01	⌴	⌴
Moroni 2:2	36	shall	shall
Moroni 2:2	36.01	⌴	⌴
Moroni 2:2	37	lay	lay
Moroni 2:2	37.01	⌴	⌴
Moroni 2:2	38	your	your
Moroni 2:2	38.01	⌴	⌴
Moroni 2:2	39	hands	hands
Moroni 2:2	39.01	,	,
Moroni 2:2	39.02	⌴	⌴
Moroni 2:2	40	ye	ye
Moroni 2:2	40.01	⌴	⌴
Moroni 2:2	41	shall	shall
Moroni 2:2	41.01	⌴	⌴
Moroni 2:2	42	give	give
Moroni 2:2	42.01	⌴	⌴
Moroni 2:2	43	the	the
Moroni 2:2	43.01	⌴	⌴
Moroni 2:2	44	Holy	Holy
Moroni 2:2	44.01	⌴	⌴
Moroni 2:2	45	Ghost	Ghost
Moroni 2:2	45.01	;	;
Moroni 2:2	45.02	⌴	⌴
Moroni 2:2	46	and	and
Moroni 2:2	46.01	⌴	⌴
Moroni 2:2	47	in	in
Moroni 2:2	47.01	⌴	⌴
Moroni 2:2	48	my	my
Moroni 2:2	48.01	⌴	⌴
Moroni 2:2	49	name	name
Moroni 2:2	49.01	⌴	⌴
Moroni 2:2	50	shall	shall
Moroni 2:2	50.01	⌴	⌴
Moroni 2:2	51	ye	ye
Moroni 2:2	51.01	⌴	⌴
Moroni 2:2	52	give	give
Moroni 2:2	52.01	⌴	⌴
Moroni 2:2	53	it	it
Moroni 2:2	53.01	:	,
Moroni 2:2	53.02	⌴	⌴
Moroni 2:2	54	for	for
Moroni 2:2	54.01	⌴	⌴
Moroni 2:2	55	thus	thus
Moroni 2:2	55.01	⌴	⌴
Moroni 2:2	56	do	do
Moroni 2:2	56.01	⌴	⌴
Moroni 2:2	57	mine	mine
Moroni 2:2	57.01	⌴	⌴
Moroni 2:2	58	apostles	apostles
Moroni 2:2	58.01	.	.
Moroni 2:3	1	Now	Now
Moroni 2:3	1.01	⌴	⌴
Moroni 2:3	2	Christ	Christ
Moroni 2:3	2.01	⌴	⌴
Moroni 2:3	3	spake	spake
Moroni 2:3	3.01	⌴	⌴
Moroni 2:3	4	these	these
Moroni 2:3	4.01	⌴	⌴
Moroni 2:3	5	words	words
Moroni 2:3	5.01	⌴	⌴
Moroni 2:3	6	unto	unto
Moroni 2:3	6.01	⌴	⌴
Moroni 2:3	7	them	them
Moroni 2:3	7.01	⌴	⌴
Moroni 2:3	8	at	at
Moroni 2:3	8.01	⌴	⌴
Moroni 2:3	9	the	the
Moroni 2:3	9.01	⌴	⌴
Moroni 2:3	10	time	time
Moroni 2:3	10.01	⌴	⌴
Moroni 2:3	11	of	of
Moroni 2:3	11.01	⌴	⌴
Moroni 2:3	12	his	his
Moroni 2:3	12.01	⌴	⌴
Moroni 2:3	13	first	first
Moroni 2:3	13.01	⌴	⌴
Moroni 2:3	14	appearing	appearing
Moroni 2:3	14.01	;	;
Moroni 2:3	14.02	⌴	⌴
Moroni 2:3	15	and	and
Moroni 2:3	15.01	⌴	⌴
Moroni 2:3	16	the	the
Moroni 2:3	16.01	⌴	⌴
Moroni 2:3	17	multitude	multitude
Moroni 2:3	17.01	⌴	⌴
Moroni 2:3	18	heard	heard
Moroni 2:3	18.01	⌴	⌴
Moroni 2:3	19	it	it
Moroni 2:3	19.01	⌴	⌴
Moroni 2:3	20	not	not
Moroni 2:3	20.01	,	,
Moroni 2:3	20.02	⌴	⌴
Moroni 2:3	21	but	but
Moroni 2:3	21.01	⌴	⌴
Moroni 2:3	22	the	the
Moroni 2:3	22.01	⌴	⌴
Moroni 2:3	23	disciples	disciples
Moroni 2:3	23.01	⌴	⌴
Moroni 2:3	24	heard	heard
Moroni 2:3	24.01	⌴	⌴
Moroni 2:3	25	it	it
Moroni 2:3	25.01	;	;
Moroni 2:3	25.02	⌴	⌴
Moroni 2:3	26	and	and
Moroni 2:3	26.01	⌴	⌴
Moroni 2:3	27	on	on
Moroni 2:3	27.01	⌴	⌴
Moroni 2:3	28	as	as
Moroni 2:3	28.01	⌴	⌴
Moroni 2:3	29	many	many
Moroni 2:3	29.01	⌴	⌴
Moroni 2:3	30	as	as
Moroni 2:3	30.01	⌴	⌴
Moroni 2:3	31	they	they
Moroni 2:3	31.01	⌴	⌴
Moroni 2:3	32	laid	laid
Moroni 2:3	32.01	⌴	⌴
Moroni 2:3	33	their	their
Moroni 2:3	33.01	⌴	⌴
Moroni 2:3	34	hands	hands
Moroni 2:3	34.01	,	,
Moroni 2:3	34.02	⌴	⌴
Moroni 2:3	35	fell	fell
Moroni 2:3	35.01	⌴	⌴
Moroni 2:3	36	the	the
Moroni 2:3	36.01	⌴	⌴
Moroni 2:3	37	Holy	Holy
Moroni 2:3	37.01	⌴	⌴
Moroni 2:3	38	Ghost	Ghost
Moroni 2:3	38.01	.	.
Moroni 3:1	1	The	THE
Moroni 3:1	1.01	⌴	⌴
Moroni 3:1	2	manner	manner
Moroni 3:1	2.01	⌴	⌴
Moroni 3:1	3	which	which
Moroni 3:1	3.01	⌴	⌴
Moroni 3:1	4	the	the
Moroni 3:1	4.01	⌴	⌴
Moroni 3:1	5	disciples	disciples
Moroni 3:1	5.01	,	,
Moroni 3:1	5.02	⌴	⌴
Moroni 3:1	6	which	who
Moroni 3:1	6.01	⌴	⌴
Moroni 3:1	7	were	were
Moroni 3:1	7.01	⌴	⌴
Moroni 3:1	8	called	called
Moroni 3:1	8.01	⌴	⌴
Moroni 3:1	9	the	the
Moroni 3:1	9.01	⌴	⌴
Moroni 3:1	10	Elders	elders
Moroni 3:1	10.01	⌴	⌴
Moroni 3:1	11	of	of
Moroni 3:1	11.01	⌴	⌴
Moroni 3:1	12	the	the
Moroni 3:1	12.01	⌴	⌴
Moroni 3:1	13	church	church
Moroni 3:1	13.01	,	,
Moroni 3:1	13.02	⌴	⌴
Moroni 3:1	14	ordained	ordained
Moroni 3:1	14.01	⌴	⌴
Moroni 3:1	15	priests	priests
Moroni 3:1	15.01	⌴	⌴
Moroni 3:1	16	and	and
Moroni 3:1	16.01	⌴	⌴
Moroni 3:1	17	teachers	teachers
Moroni 3:1	17.01	.	.
Moroni 3:2	1	After	After
Moroni 3:2	1.01	⌴	⌴
Moroni 3:2	2	they	they
Moroni 3:2	2.01	⌴	⌴
Moroni 3:2	3	had	had
Moroni 3:2	3.01	⌴	⌴
Moroni 3:2	4	prayed	prayed
Moroni 3:2	4.01	⌴	⌴
Moroni 3:2	5	unto	unto
Moroni 3:2	5.01	⌴	⌴
Moroni 3:2	6	the	the
Moroni 3:2	6.01	⌴	⌴
Moroni 3:2	7	Father	Father
Moroni 3:2	7.01	⌴	⌴
Moroni 3:2	8	in	in
Moroni 3:2	8.01	⌴	⌴
Moroni 3:2	9	the	the
Moroni 3:2	9.01	⌴	⌴
Moroni 3:2	10	name	name
Moroni 3:2	10.01	⌴	⌴
Moroni 3:2	11	of	of
Moroni 3:2	11.01	⌴	⌴
Moroni 3:2	12	Christ	Christ
Moroni 3:2	12.01	,	,
Moroni 3:2	12.02	⌴	⌴
Moroni 3:2	13	they	they
Moroni 3:2	13.01	⌴	⌴
Moroni 3:2	14	laid	laid
Moroni 3:2	14.01	⌴	⌴
Moroni 3:2	15	their	their
Moroni 3:2	15.01	⌴	⌴
Moroni 3:2	16	hands	hands
Moroni 3:2	16.01	⌴	⌴
Moroni 3:2	17	upon	upon
Moroni 3:2	17.01	⌴	⌴
Moroni 3:2	18	them	them
Moroni 3:2	18.01	,	,
Moroni 3:2	18.02	⌴	⌴
Moroni 3:2	19	and	and
Moroni 3:2	19.01	⌴	⌴
Moroni 3:2	20	said	said
Moroni 3:2	20.01	,	,
Moroni 3:3	1	In	in
Moroni 3:3	1.01	⌴	⌴
Moroni 3:3	2	the	the
Moroni 3:3	2.01	⌴	⌴
Moroni 3:3	3	name	name
Moroni 3:3	3.01	⌴	⌴
Moroni 3:3	4	of	of
Moroni 3:3	4.01	⌴	⌴
Moroni 3:3	5	Jesus	Jesus
Moroni 3:3	5.01	⌴	⌴
Moroni 3:3	6	Christ	Christ
Moroni 3:3	6.01	⌴	⌴
Moroni 3:3	7	I	I
Moroni 3:3	7.01	⌴	⌴
Moroni 3:3	8	ordain	ordain
Moroni 3:3	8.01	⌴	⌴
Moroni 3:3	9	you	you
Moroni 3:3	9.01	⌴	⌴
Moroni 3:3	10	to	to
Moroni 3:3	10.01	⌴	⌴
Moroni 3:3	11	be	be
Moroni 3:3	11.01	⌴	⌴
Moroni 3:3	12	a	a
Moroni 3:3	12.01	⌴	⌴
Moroni 3:3	13	priest	priest
Moroni 3:3	13.01	;	;
Moroni 3:3	13.02	⌴	⌴
Moroni 3:3	13.03	(	(
Moroni 3:3	14	or	or
