Citation	wID	1830	1837	1840	1841	1879	1920
Helaman 1:9	7	desirous	desirous
Helaman 1:9	7.01	⌴	⌴
Helaman 1:9	8	that	that
Helaman 1:9	8.01	⌴	⌴
Helaman 1:9	9	he	he
Helaman 1:9	9.01	⌴	⌴
Helaman 1:9	10	should	should
Helaman 1:9	10.01	⌴	⌴
Helaman 1:9	11	be	be
Helaman 1:9	11.01	⌴	⌴
Helaman 1:9	12	their	their
Helaman 1:9	12.01	⌴	⌴
Helaman 1:9	13	governor	governor
Helaman 1:9	13.01	,	,
Helaman 1:9	13.02	⌴	⌴
Helaman 1:9	14	saw	saw
Helaman 1:9	14.01	⌴	⌴
Helaman 1:9	15	that	that
Helaman 1:9	15.01	⌴	⌴
Helaman 1:9	16	he	he
Helaman 1:9	16.01	⌴	⌴
Helaman 1:9	17	was	was
Helaman 1:9	17.01	⌴	⌴
Helaman 1:9	18	condemned	condemned
Helaman 1:9	18.01	⌴	⌴
Helaman 1:9	19	unto	unto
Helaman 1:9	19.01	⌴	⌴
Helaman 1:9	20	death	death
Helaman 1:9	20.01	,	,
Helaman 1:9	20.02	⌴	⌴
Helaman 1:9	21	therefore	therefore
Helaman 1:9	21.01	⌴	⌴
Helaman 1:9	22	they	they
Helaman 1:9	22.01	⌴	⌴
Helaman 1:9	23	were	were
Helaman 1:9	23.01	⌴	⌴
Helaman 1:9	24	angry	angry
Helaman 1:9	24.01	;	;
Helaman 1:9	24.02	⌴	⌴
Helaman 1:9	25	and	and
Helaman 1:9	25.01	⌴	⌴
Helaman 1:9	26	behold	behold
Helaman 1:9	26.01	,	,
Helaman 1:9	26.02	⌴	⌴
Helaman 1:9	27	they	they
Helaman 1:9	27.01	⌴	⌴
Helaman 1:9	28	sent	sent
Helaman 1:9	28.01	⌴	⌴
Helaman 1:9	29	forth	forth
Helaman 1:9	29.01	⌴	⌴
Helaman 1:9	30	one	one
Helaman 1:9	30.01	⌴	⌴
Helaman 1:9	31	Kishkumen	Kishkumen
Helaman 1:9	31.01	,	,
Helaman 1:9	31.02	⌴	⌴
Helaman 1:9	32	even	even
Helaman 1:9	32.01	⌴	⌴
Helaman 1:9	33	to	to
Helaman 1:9	33.01	⌴	⌴
Helaman 1:9	34	the	the
Helaman 1:9	34.01	⌴	⌴
Helaman 1:9	35	judgement	judgement
Helaman 1:9	35.01	⌴	⌴
Helaman 1:9	36	seat	seat
Helaman 1:9	36.01	⌴	⌴
Helaman 1:9	37	of	of
Helaman 1:9	37.01	⌴	⌴
Helaman 1:9	38	Pahoran	Pahoran
Helaman 1:9	38.01	,	,
Helaman 1:9	38.02	⌴	⌴
Helaman 1:9	39	and	and
Helaman 1:9	39.01	⌴	⌴
Helaman 1:9	40	murdered	murdered
Helaman 1:9	40.01	⌴	⌴
Helaman 1:9	41	Pahoran	Pahoran
Helaman 1:9	41.01	⌴	⌴
Helaman 1:9	42	as	as
Helaman 1:9	42.01	⌴	⌴
Helaman 1:9	43	he	he
Helaman 1:9	43.01	⌴	⌴
Helaman 1:9	44	sat	sat
Helaman 1:9	44.01	⌴	⌴
Helaman 1:9	45	upon	upon
Helaman 1:9	45.01	⌴	⌴
Helaman 1:9	46	the	the
Helaman 1:9	46.01	⌴	⌴
Helaman 1:9	47	judgement	judgement
Helaman 1:9	47.01	⌴	⌴
Helaman 1:9	48	seat	seat
Helaman 1:9	48.01	.	.
Helaman 1:10	1	And	And
Helaman 1:10	1.01	⌴	⌴
Helaman 1:10	2	he	he
Helaman 1:10	2.01	⌴	⌴
Helaman 1:10	3	was	was
Helaman 1:10	3.01	⌴	⌴
Helaman 1:10	4	pursued	pursued
Helaman 1:10	4.01	⌴	⌴
Helaman 1:10	5	by	by
Helaman 1:10	5.01	⌴	⌴
Helaman 1:10	6	the	the
Helaman 1:10	6.01	⌴	⌴
Helaman 1:10	7	servants	servants
Helaman 1:10	7.01	⌴	⌴
Helaman 1:10	8	of	of
Helaman 1:10	8.01	⌴	⌴
Helaman 1:10	9	Pahoran	Pahoran
